Nasa Missions:

Mission Name: La Lune	 Discovery Date: 
Mission Name: Phobos	 Discovery Date: 12/08/1877
Mission Name: Deïmos	 Discovery Date: 12/08/1877
Mission Name: Io	 Discovery Date: 07/01/1610
Mission Name: Europe	 Discovery Date: 08/01/1610
Mission Name: Ganymède	 Discovery Date: 11/01/1610
Mission Name: Callisto	 Discovery Date: 07/01/1610
Mission Name: Amalthée	 Discovery Date: 09/09/1892
Mission Name: Himalia	 Discovery Date: 03/12/1904
Mission Name: Élara	 Discovery Date: 02/01/1905
Mission Name: Pasiphaé	 Discovery Date: 27/01/1908
Mission Name: Sinopé	 Discovery Date: 21/07/1914
Mission Name: Lysithéa	 Discovery Date: 06/07/1938
Mission Name: Carmé	 Discovery Date: 30/07/1938
Mission Name: Ananké	 Discovery Date: 28/09/1951
Mission Name: Léda	 Discovery Date: 11/09/1974
Mission Name: Thébé	 Discovery Date: 05/03/1979
Mission Name: Adrastée	 Discovery Date: 08/07/1979
Mission Name: Métis	 Discovery Date: 04/03/1979
Mission Name: Callirrhoé	 Discovery Date: 06/10/1999
Mission Name: Thémisto	 Discovery Date: 30/09/1975
Mission Name: Mégaclité	 Discovery Date: 23/11/2000
Mission Name: Taygété	 Discovery Date: 23/11/2000
Mission Name: Chaldéné	 Discovery Date: 23/11/2000
Mission Name: Harpalyké	 Discovery Date: 23/11/2000
Mission Name: Kalyké	 Discovery Date: 23/11/2000
Mission Name: Iocasté	 Discovery Date: 23/11/2000
Mission Name: Erinomé	 Discovery Date: 23/11/2000
Mission Name: Isonoé	 Discovery Date: 23/11/2000
Mission Name: Praxidyké	 Discovery Date: 23/11/2000
Mission Name: Autonoé	 Discovery Date: 10/12/2001
Mission Name: Thyoné	 Discovery Date: 11/12/2001
Mission Name: Hermippé	 Discovery Date: 19/12/2001
Mission Name: Aitné	 Discovery Date: 19/12/2001
Mission Name: Eurydomé	 Discovery Date: 19/12/2001
Mission Name: Euanthé	 Discovery Date: 11/12/2001
Mission Name: Euporie	 Discovery Date: 11/12/2001
Mission Name: Orthosie	 Discovery Date: 11/12/2001
Mission Name: Spondé	 Discovery Date: 19/12/2001
Mission Name: Calé	 Discovery Date: 19/12/2001
Mission Name: Pasithée	 Discovery Date: 11/12/2001
Mission Name: Hégémone	 Discovery Date: 2003
Mission Name: Mnémé	 Discovery Date: 2003
Mission Name: Aoedé	 Discovery Date: 2003
Mission Name: Thelxinoé	 Discovery Date: 2003
Mission Name: Arché	 Discovery Date: 31/10/2002
Mission Name: Callichore	 Discovery Date: 2003
Mission Name: Hélicé	 Discovery Date: 2003
Mission Name: Carpo	 Discovery Date: 2003
Mission Name: Eukéladé	 Discovery Date: 2003
Mission Name: Cyllène	 Discovery Date: 2003
Mission Name: Coré	 Discovery Date: 2003
Mission Name: Hersé	 Discovery Date: 2003
Mission Name: S/2003 J 2	 Discovery Date: 2003
Mission Name: Euphémé	 Discovery Date: 2003
Mission Name: S/2003 J 4	 Discovery Date: 2003
Mission Name: Eiréné	 Discovery Date: 2003
Mission Name: S/2003 J 9	 Discovery Date: 2003
Mission Name: S/2003 J 10	 Discovery Date: 2003
Mission Name: S/2003 J 12	 Discovery Date: 2003
Mission Name: Philophrosyne	 Discovery Date: 2003
Mission Name: S/2003 J 16	 Discovery Date: 2003
Mission Name: S/2003 J 18	 Discovery Date: 2003
Mission Name: S/2003 J 19	 Discovery Date: 2003
Mission Name: S/2003 J 23	 Discovery Date: 2003
Mission Name: Mimas	 Discovery Date: 17/09/1789
Mission Name: Encelade	 Discovery Date: 28/08/1789
Mission Name: Téthys	 Discovery Date: 21/03/1684
Mission Name: Dioné	 Discovery Date: 21/03/1684
Mission Name: Rhéa	 Discovery Date: 23/12/1672
Mission Name: Titan	 Discovery Date: 25/03/1655
Mission Name: Hypérion	 Discovery Date: 16/09/1848
Mission Name: Japet	 Discovery Date: 25/10/1671
Mission Name: Phœbé	 Discovery Date: 17/03/1899
Mission Name: Janus	 Discovery Date: 15/12/1966
Mission Name: Epiméthée	 Discovery Date: 18/12/1966
Mission Name: Hélène	 Discovery Date: 01/03/1980
Mission Name: Télesto	 Discovery Date: 08/04/1980
Mission Name: Calypso	 Discovery Date: 13/03/1980
Mission Name: Atlas	 Discovery Date: 12/11/1980
Mission Name: Prométhée	 Discovery Date: ??/10/1980
Mission Name: Pandore	 Discovery Date: ??/10/1980
Mission Name: Pan	 Discovery Date: 22/08/1981
Mission Name: Ymir	 Discovery Date: 07/08/2000
Mission Name: Paaliaq	 Discovery Date: 07/08/2000
Mission Name: Tarvos	 Discovery Date: 23/09/2000
Mission Name: Ijiraq	 Discovery Date: 23/09/2000
Mission Name: Suttungr	 Discovery Date: 23/09/2000
Mission Name: Kiviuq	 Discovery Date: 07/08/2000
Mission Name: Mundilfari	 Discovery Date: 23/09/2000
Mission Name: Albiorix	 Discovery Date: 09/11/2000
Mission Name: Skathi	 Discovery Date: 23/09/2000
Mission Name: Erriapo	 Discovery Date: 23/09/2000
Mission Name: Siarnaq	 Discovery Date: 23/09/2000
Mission Name: Thrymr	 Discovery Date: 23/09/2000
Mission Name: Narvi	 Discovery Date: 05/02/2003
Mission Name: Méthone	 Discovery Date: 01/06/2004
Mission Name: Pallène	 Discovery Date: 01/06/2004
Mission Name: Pollux	 Discovery Date: 21/10/2004
Mission Name: Daphnis	 Discovery Date: 01/05/2009
Mission Name: Aegir	 Discovery Date: 12/12/2004
Mission Name: Bebhionn	 Discovery Date: 12/12/2004
Mission Name: Bergelmir	 Discovery Date: 12/12/2004
Mission Name: Bestla	 Discovery Date: 13/12/2004
Mission Name: Farbauti	 Discovery Date: 12/12/2004
Mission Name: Fenrir	 Discovery Date: 13/12/2004
Mission Name: Fornjot	 Discovery Date: 12/12/2004
Mission Name: Hati	 Discovery Date: 12/12/2004
Mission Name: Hyrrokkin	 Discovery Date: 12/12/2004
Mission Name: Kari	 Discovery Date: 12/12/2004
Mission Name: Loge	 Discovery Date: 13/12/2004
Mission Name: Skoll	 Discovery Date: 12/12/2004
Mission Name: Surtur	 Discovery Date: 12/12/2004
Mission Name: Anthé	 Discovery Date: 30/05/2007
Mission Name: Jarnsaxa	 Discovery Date: 05/01/2006
Mission Name: Greip	 Discovery Date: 05/01/2006
